Instance	BestObj	RefObj	BestCpu	RefCpu	Bound
1	0	2147483647	0	4611686018427387903	-1073741823
10	0	2147483647	3	4611686018427387903	-1073741823
100	0	2147483647	3822	4611686018427387903	-1073741823
11	346124	2147483647	4611686018427387903	4611686018427387903	-1073741823
12	445636	2147483647	4611686018427387903	4611686018427387903	-1073741823
13	587451	2147483647	4611686018427387903	4611686018427387903	-1073741823
14	0	2147483647	17	4611686018427387903	-1073741823
15	0	2147483647	39	4611686018427387903	-1073741823
16	120697	2147483647	4611686018427387903	4611686018427387903	-1073741823
17	501389	2147483647	4611686018427387903	4611686018427387903	-1073741823
18	605009	2147483647	4611686018427387903	4611686018427387903	-1073741823
19	275379	2147483647	4611686018427387903	4611686018427387903	-1073741823
2	0	2147483647	0	4611686018427387903	-1073741823
20	42032	2147483647	4611686018427387903	4611686018427387903	-1073741823
21	67359	2147483647	4611686018427387903	4611686018427387903	-1073741823
22	210623	2147483647	4611686018427387903	4611686018427387903	-1073741823
23	451241	2147483647	4611686018427387903	4611686018427387903	-1073741823
24	633594	2147483647	4611686018427387903	4611686018427387903	-1073741823
25	27167	2147483647	539	4611686018427387903	-1073741823
26	38481	2147483647	1407	4611686018427387903	-1073741823
27	5910	2147483647	689	4611686018427387903	-1073741823
28	5881	2147483647	1302	4611686018427387903	-1073741823
29	0	2147483647	240	4611686018427387903	-1073741823
3	0	2147483647	0	4611686018427387903	-1073741823
30	0	2147483647	256	4611686018427387903	-1073741823
31	0	2147483647	8	4611686018427387903	-1073741823
32	0	2147483647	10	4611686018427387903	-1073741823
33	0	2147483647	15	4611686018427387903	-1073741823
34	0	2147483647	110	4611686018427387903	-1073741823
35	0	2147483647	315	4611686018427387903	-1073741823
36	256630	2147483647	4611686018427387903	4611686018427387903	-1073741823
37	80699	2147483647	4611686018427387903	4611686018427387903	-1073741823
38	95542	2147483647	4611686018427387903	4611686018427387903	-1073741823
39	395083	2147483647	4611686018427387903	4611686018427387903	-1073741823
4	0	2147483647	0	4611686018427387903	-1073741823
40	216824	2147483647	4611686018427387903	4611686018427387903	-1073741823
41	0	2147483647	590	4611686018427387903	-1073741823
42	0	2147483647	118	4611686018427387903	-1073741823
43	0	2147483647	254	4611686018427387903	-1073741823
44	1742186	2147483647	529056	4611686018427387903	-1073741823
45	3984	2147483647	4611686018427387903	4611686018427387903	-1073741823
46	0	2147483647	10128	4611686018427387903	-1073741823
47	0	2147483647	10	4611686018427387903	-1073741823
48	0	2147483647	24	4611686018427387903	-1073741823
49	0	2147483647	4	4611686018427387903	-1073741823
5	0	2147483647	0	4611686018427387903	-1073741823
50	0	2147483647	21	4611686018427387903	-1073741823
51	0	2147483647	18	4611686018427387903	-1073741823
52	476714	2147483647	4611686018427387903	4611686018427387903	-1073741823
53	94646	2147483647	4611686018427387903	4611686018427387903	-1073741823
54	167873	2147483647	4611686018427387903	4611686018427387903	-1073741823
55	277951	2147483647	4611686018427387903	4611686018427387903	-1073741823
56	155587	2147483647	4611686018427387903	4611686018427387903	-1073741823
57	0	2147483647	0	4611686018427387903	-1073741823
58	0	2147483647	0	4611686018427387903	-1073741823
59	0	2147483647	0	4611686018427387903	-1073741823
6	0	2147483647	0	4611686018427387903	-1073741823
60	158328	2147483647	4611686018427387903	4611686018427387903	-1073741823
61	42591	2147483647	4611686018427387903	4611686018427387903	-1073741823
62	34209	2147483647	4611686018427387903	4611686018427387903	-1073741823
63	108445	2147483647	4611686018427387903	4611686018427387903	-1073741823
64	183775	2147483647	4611686018427387903	4611686018427387903	-1073741823
65	17090	2147483647	4611686018427387903	4611686018427387903	-1073741823
66	63895	2147483647	12	4611686018427387903	-1073741823
67	340813	2147483647	4611686018427387903	4611686018427387903	-1073741823
68	370025	2147483647	4611686018427387903	4611686018427387903	-1073741823
69	516400	2147483647	1428	4611686018427387903	-1073741823
7	0	2147483647	0	4611686018427387903	-1073741823
70	577401	2147483647	1900	4611686018427387903	-1073741823
71	386753	2147483647	789	4611686018427387903	-1073741823
72	587443	2147483647	1780	4611686018427387903	-1073741823
73	83412	2147483647	4611686018427387903	4611686018427387903	-1073741823
74	62182	2147483647	4611686018427387903	4611686018427387903	-1073741823
75	452267	2147483647	4611686018427387903	4611686018427387903	-1073741823
76	35509	2147483647	4611686018427387903	4611686018427387903	-1073741823
77	60265	2147483647	4611686018427387903	4611686018427387903	-1073741823
78	334338	2147483647	4611686018427387903	4611686018427387903	-1073741823
79	39691	2147483647	4611686018427387903	4611686018427387903	-1073741823
8	0	2147483647	0	4611686018427387903	-1073741823
80	47714	2147483647	4611686018427387903	4611686018427387903	-1073741823
81	222192	2147483647	4611686018427387903	4611686018427387903	-1073741823
82	253632	2147483647	4611686018427387903	4611686018427387903	-1073741823
83	197995	2147483647	4611686018427387903	4611686018427387903	-1073741823
84	272915	2147483647	4611686018427387903	4611686018427387903	-1073741823
85	51425	2147483647	4611686018427387903	4611686018427387903	-1073741823
86	84930	2147483647	4611686018427387903	4611686018427387903	-1073741823
87	111319	2147483647	4611686018427387903	4611686018427387903	-1073741823
88	143814	2147483647	4611686018427387903	4611686018427387903	-1073741823
89	256575	2147483647	4611686018427387903	4611686018427387903	-1073741823
9	0	2147483647	1	4611686018427387903	-1073741823
90	54049	2147483647	4611686018427387903	4611686018427387903	-1073741823
91	118854	2147483647	4611686018427387903	4611686018427387903	-1073741823
92	31150	2147483647	4611686018427387903	4611686018427387903	-1073741823
93	62856	2147483647	4611686018427387903	4611686018427387903	-1073741823
94	202353	2147483647	4611686018427387903	4611686018427387903	-1073741823
95	266906	2147483647	4611686018427387903	4611686018427387903	-1073741823
96	343415	2147483647	43	4611686018427387903	-1073741823
97	44699	2147483647	4611686018427387903	4611686018427387903	-1073741823
98	357469	2147483647	4611686018427387903	4611686018427387903	-1073741823
99	0	2147483647	2273	4611686018427387903	-1073741823
